unspsc,root_domain,page_url,product_title,product_summary,product_name,product_identifier,brand,intended_industries,applicability,eco_friendly,ethical_and_sustainability_practices,production_capacity,price,materials,ingredients,manufacturing_countries,manufacturing_year,manufacturing_type,customization,packaging_type,form,size,color,purity,energy_efficiency,pressure_rating,power_rating,quality_standards_and_certifications,miscellaneous_features,description
Optical lighting,creativeretaillighting.co.uk,https://www.acehardware.com/departments/lighting-and-electrical/light-fixtures/recessed-lighting/3009797,https://www.acehardware.com/departments/lighting-and-electrical/light-fixtures/recessed-lighting/3009797,"The Super Flux LED Module 4LED Waterproof is a high-performance LED lighting solution designed for various applications, particularly as a replacement for traditional neon lights and other advertising lighting. This product is part of the LED Encapsulation Series and is manufactured by Super Flux. It operates at a voltage of DC12V and features a power consumption of 0.48W. The module is equipped with four Super Flux LEDs, each contributing to a total power output of 0.48W. The LED Module is available in a wide range of colors, including white, warm white, white with white, red, green, blue, and yellow, providing flexibility for different lighting needs. The color temperature ranges from 2800K to 6500K, and the beam angle is 120°, making it suitable for various lighting environments. The module is designed with an IP65 rating, ensuring it is waterproof and protected against dust and water ingress. It is constructed with a white PVC shell and utilizes chip technology from SanAn, known for its high-quality performance. The module is compact, with dimensions of 35x35mm, and can be connected using 20 pieces of string. It is designed to operate efficiently within a temperature range of -40ºC to +60ºC and can be stored at temperatures between -50ºC and +70ºC. The Super Flux LED Module 4LED Waterproof boasts a long lifespan of at least 50,000 hours and is up to 60% more energy-efficient than traditional neon lights. It is easy to assemble and maintain, making it a cost-effective lighting solution. The product is certified with CE and ROHS standards, ensuring compliance with international quality and safety regulations. It comes with a 3-year warranty and is available for purchase with a negotiable price. The module is manufactured in Guangdong and can be delivered within 5~7 working days, with samples available within 2~3 working days. Shipping options include DHL, EMS, UPS, FedEx door-to-door service, by sea, and air. Payment methods accepted are T/T, Western Union, and Paypal. The product is designed to be low voltage, ensuring safety during use, and is ideal for various lighting applications due to its high luminance and low power consumption. It is also noted for its low light degradation and low eye strain, making it a reliable and long-lasting lighting solution.",Wireless PIR Motion Sensor LED Strip Light,['Part_Number: KM-140-30K-HO-F-FC-SA-E-1'],Blakley Electrics,['ConstructionInterior Design'],['replacement for traditional neon lightswaterproof lightingenergy-efficient lighting'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Aluminum'],[None],[None],-1,[None],['Designed to be compatible with various LED light types'],[None],[None],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '35'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '35'}]","[{'original': 'White', 'simple': 'White'}
 {'original': 'Warm White', 'simple': 'White'}
 {'original': 'Red', 'simple': 'Red'}
 {'original': 'Green', 'simple': 'Green'}
 {'original': 'Blue', 'simple': 'Blue'}
 {'original': 'Yellow', 'simple': 'Yellow'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","{'exact_percentage': None, 'max_percentage': None, 'min_percentage': None, 'qualitative': 'high', 'standard_label': None}","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': 'exact', 'unit': 'W', 'value': '0.48'}
 {'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'low'}]",['CBENECLCA'],"['Low-profile designSurface-mount installationWarranty includes coverage for mechanical and electrical defects, power surge protection, and accidental damage']","The ""LED Module"" manufactured by Super Flux is a high-performance LED lighting solution designed for various applications, including as a replacement for traditional neon lights. This module is part of the LED Encapsulation Series and features a wide range of colors and a high luminance, making it suitable for diverse lighting environments. It is equipped with a waterproof and dust-proof design, ensuring reliability in various conditions. The module is constructed with a white PVC shell and utilizes chip technology from SanAn, known for its high-quality performance. It is certified with CE and ROHS standards, ensuring compliance with international quality and safety regulations."
Optical network devices,opticalmodulemanufacturers.com,https://www.lightoptics.co.uk/products/fttx-cex-wdm-module-with-otdr-osc-c-band-ports?pr_prod_strat=e5_desc&pr_rec_id=8aa275886&pr_rec_pid=7603529744642&pr_ref_pid=7788360073474&pr_seq=uniform&variant=42530060206338,https://www.lightoptics.co.uk/products/fttx-cex-wdm-module-with-otdr-osc-c-band-ports?pr_prod_strat=e5_desc&pr_rec_id=8aa275886&pr_rec_pid=7603529744642&pr_ref_pid=7788360073474&pr_seq=uniform&variant=42530060206338,"The Customized GPON & XGS-PON & NG-PON2 CEx WDM FTTH Box for NAP CTO OTB is a sophisticated coexistence element designed to enable the coexistence of current GPON FTTH services with emerging XGS-PON and Next Generation NG-PON2 technologies. This device is essential for maintaining the functionality of existing passive optical networks (PON) while supporting the migration to next-generation PON services. The CEx WDM FTTH Box is priced at $64.00 and is available for purchase with various payment options, including ShopPay. It features a single fiber configuration and supports multiple configurations including GPON+XGS-PON, GPON+XGS-PON+RF Video, GPON+XGS-PON+NG-PON2, GPON+XGS-PON+RF Video+OTDR, GPON+XGS-PON+NG-PON2+RF Video+PtP, and GPON+XGS-PON+NG-PON2+RF Video+PtP+OTDR. The fiber connectors available for this device are SC/APC, SC/UPC, and LC/APC, ensuring compatibility with a wide range of fiber optic setups. The CEx WDM FTTH Box is designed to operate in various temperature environments, with industrial standard LGX modules meeting OSP requirements of -40°C to +70°C and FTTx cassette CEx modules meeting ISP requirements of -10°C to +65°C. The device is tested to IEC 61300-2-1, -9, -21, -22, -26, and GR-1209 standards, ensuring high operational stability and thermal stability. The wavelength range for the Coexistence Element (CEx) Multiplexer is 1290-1500nm, which is suitable for future 25G/50G services. The device supports multiple protocols and services, including GPON (1290-1500nm), XGS-PON (1260-1280nm & 1575-1581nm), NG-PON2 (1524-1544nm & 1596-1603nm), RF Video (1550-1560nm), Point to Point (PtP) WDM-PON (1610-1625nm), OTDR Monitor (1625-1675nm), and OSC (C-band). The CEx01 model supports GPON wavelengths of 1290-1330nm and 1480-1500nm with a maximum insertion loss of 0.8dB and isolation of ≥30dB. The CEx02 model supports RF Video wavelengths of 1550-1560nm with a maximum insertion loss of 1.4dB. The CEx03 model supports XGS-PON wavelengths of 1524-1544nm and 1596-1625nm with a maximum insertion loss of ≥25dB. The CEx04 model supports NG-PON2 wavelengths of 1524-1544nm and 1596-1625nm with a maximum insertion loss of 1.7dB. The CEx05 model supports G-PON wavelengths of 1524-1544nm and 1596-1625nm with a maximum insertion loss of ≥25dB and a maximum insertion loss of 2.0dB. The CEx06 model supports OTDR Monitor wavelengths of 1524-1544nm and 1596-1625nm with a maximum insertion loss of 1.7dB and a maximum insertion loss of 2.3dB. The CEx07 model supports PtP WDM-PON wavelengths of 1610-1625nm with a maximum insertion loss of 1.7dB. This product is designed to meet the requirements of ISPs and is tested to GR-63 standards, ensuring high performance and reliability. The CEx WDM FTTH Box is an ideal solution for upgrading existing PON networks to support next-generation services, thereby increasing data speed and delivering additional services without fully replacing the existing infrastructure.",GPON & XGS-PON & NG-PON2 CEx WDM FTTH Box,['Product_Code: QSFP28-100G-ZR4-A10-C'],Mellanox,['TechnologyCommunications'],['Termination Of Bare Optical FibersSecure Coupling And Mounting Of Optical Fibers'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Optic Fibre'],[None],[None],-1,['Custom-Built'],"['Supports multiple configurations including GPON+XGS-PON, GPON+XGS-PON+RF Video, GPON+XGS-PON+NG-PON2, GPON+XGS-PON+RF Video+OTDR, GPON+XGS-PON+NG-PON2+RF Video+PtP, and GPON+XGS-PON+NG-PON2+RF Video+PtP+OTDR']",[None],[None],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '1'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': 'min', 'unit': 'mW', 'value': '7.5'}
 {'qualitative': False, 'type': 'max', 'unit': 'mW', 'value': '8.0'}]",['IEC 61300-2-1-9-21-22-26GR-1209GR-63'],"['Single fiber configurationSupports multiple configurationsFiber connectors: SC/APC, SC/UPC, LC/APCOperates in various temperature environmentsTested to IEC 61300-2-1, -9, -21, -22, -26, and GR-1209 standards']","""Fiber Chucks and Holders"" are specialized tools designed for the precise termination of bare optical fibers and the secure coupling and mounting within optical systems. These chucks and holders are compatible with a wide range of fiber types, including SMA, FC, ST, LC, and SC connectors, and are available in various models such as FPH-C, FPH-CA3, and FPH-S series. The series includes models like FPH-DJ and FPH-SR, each tailored to specific fiber types and connectorized fiber mounts, ensuring optimal fiber handling and protection. Accessories like the FPH-SR strain relief boot are also available to enhance fiber safety and performance."
Oranges,gdrfarmfresh.com,https://amber-lite.com/swatches-uk/,https://amber-lite.com/swatches-uk/,"Honey Orange is a popular style available in UK stock, with a thickness of 8mm and panel sizes of 2440 x 1220. It is part of the Amber-Lite product line, which is available for off-shelf delivery and faster lead-times. The minimum order quantity for non-UK stock styles is 20.83 square metres, equivalent to 7 full-size panels. Standard samples are free of charge to any UK address, with a maximum of 4 samples provided. Samples are sent by a standard courier service with an anticipated delivery time of 3/5 days.",Honey Orange Swatch,[{'Name': 'None'}],None,['AgricultureFood & Beverage'],['Product Display'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],['Solid'],"[{'dimension': 'Thickness', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '8'}
 {'dimension': 'Area', 'qualitative': False, 'type': 'exact', 'unit': 'm2', 'value': '20.83'}]","[{'original': 'Orange', 'simple': 'Orange'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Part of the Amber-Lite product lineFaster lead-timesFree of charge standard samplesMaximum of 4 samples providedAnticipated delivery time of 3/5 daysminimum order quantity for non-UK stock styles is 20'],"""Honey Orange Swatch"" is a product from the Amber-Lite line, available for off-shelf delivery with faster lead-times. This style is part of a collection that includes options for customization and personalization, catering to diverse aesthetic needs."
Ores,metalukraine.com,https://metalukraine.com/category/vostgok/page/10,https://metalukraine.com/category/vostgok/page/10,Transportation of uranium ore valued at 5.78 million UAH ordered by Vostochny Mining and Processing Works. The company will transport 45 thousand tons of uranium ore from Novokonstatninovskaya mine to Ingulskaya mine.,Uranium Ore Transportation,[{'Name': 'None'}],None,['MiningTransportation'],[None],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Uranium Ore'],[None],[None],-1,[None],['Available for purchase and sale in UkraineSourced from various sources'],[None],[None],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'different forms and sizes'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Available for export and import'],"""Uranium Ore Transportation"" is the transportation of uranium ore valued at 5.78 million UAH, ordered by Vostochny Mining and Processing Works. This company will transport 45 thousand tons of uranium ore from the Novokonstatninovskaya mine to the Ingulskaya mine."
Organic derivatives and substituted compounds,kaiente.en.alibaba.com,https://www.polysciences.com/chinese/catalog-products/microparticles-particles/additional-microspheres-particles/iron-oxide-particles,https://www.polysciences.com/chinese/catalog-products/microparticles-particles/additional-microspheres-particles/iron-oxide-particles,"Maleic Anhydride is a chemical compound primarily utilized in the paint industry, where it plays a crucial role in the formulation and application of various types of paints. Maleic Anhydride is a key component in the production of paints, which are used to decorate, protect, and extend the life of natural and synthetic materials. These paints can be broadly classified into decorative paints, which are applied on-site to decorate and protect buildings and other objects, and industrial coatings, which are applied in factories to finish manufactured goods such as cars. The constituents of paints include pigments, binders (resins), extenders, solvents, and additives. Pigments are used to impart color and opacity, while binders, such as resin, form a matrix to hold the pigment in place. Extenders are larger pigment particles added to improve adhesion, strengthen the film, and save binder. Solvents, often referred to as thinners, are used to reduce the viscosity of the paint for better application. Additives are used to modify the properties of the liquid paint or dry film. The binder and solvent, sometimes known as the vehicle, may be dissolved as a solution or carried as a dispersion of microscopically small particles in a liquid. The most important binders in modern paints are acrylic polymers, alkylidene polymers, and epoxy polymers. Acrylic polymers are used in many emulsion paints, based on homopolymers or co-polymers of ethenyl ethanoate (vinyl acetate) and a propenoate (acrylic) ester. Ethenyl ethanoate is manufactured by passing a mixture of ethanoic acid vapor, ethene, and oxygen over heated palladium (II) and copper (II) chlorides. The polymers used in these paints are carried in water, making them better for the environment than paints in which the binders are in organic solvents. Emulsion paints are made by a process known as emulsion polymerization, in which the liquid monomers to be polymerized are first dispersed in water, forming polymers with relative molecular masses of 500000000. Acrylic resins may also be used in industrial paints, either as water-borne emulsion paints or as solvent-borne paints. Solvent-borne industrial paints can have a tough protective finish and are widely used in industry as topcoats, for example on car bodies. The paint frequently comes as two components, the main paint portion typically consisting of an acrylic resin produced by the polymerization of a propenoate ester formed from a polyhydric alcohol (diols and triols). The resulting polyester has numerous hydroxyl groups (-OH) pendant from the polymer backbone, which react with the other compound, often consisting of a polymeric isocyanate such as a trimer of 1,6-diisocyanatohexane (hexamethylene diisocyanate). This reaction proceeds relatively slowly at room temperature, allowing enough time for the paint to be applied, after which the solvent thinner evaporates and the painted item is placed in an oven to accelerate the chemical reaction, greatly increasing the molecular mass of the polymer causing it to become a three-dimensional molecule and form a hard film, resistant to chemicals.",O-Dimethylaminocarbonyl-4-(6-dimethylamino-4-trifluoromethylpyridin-2-yl)benzaldehyde oxime,['Part_Number: JT-5797-03'],Western Chemical Industries P. Limited,['ManufacturingAutomotiveConstructionHealthcareEducationTechnology'],['bioprocessingcell cultureproduction of cell membranescell adhesives'],False,"['manufactured with REACH capabilitiesISO-9001-2008, ISO-14001-2004, and OHSAS 18001-2007 certifications']","[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Acid Functional PolymersCarboxylic AcidsPhosphoric AcidsSulfonic AcidsAcrylateMethacrylateAmide PolymersPolymers'],"['1,4-dihydroxy-2naphthoic acid methyl ester']",[None],-1,[None],['Customized packing available'],['1 ltr bottles50 ltr to 500 ltr SS cylinders'],['Crystals'],"[{'dimension': 'Volume', 'qualitative': False, 'type': 'min', 'unit': 'L', 'value': '50'}
 {'dimension': 'Volume', 'qualitative': False, 'type': 'max', 'unit': 'L', 'value': '500'}]","[{'original': 'Pineapple', 'simple': 'Yellow'}]","[{'qualitative': False, 'type': 'exact', 'unit': None, 'value': '95.0'}
 {'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",['ISO-9001-2008ISO-14001-2004OHSAS 18001-2007'],"['Exempt from USDEA registrationRegistered under Canada Test Kit Registration #061-1891No Health Canada import authorization requiredUN Number 1230, Class 3, IIHS Code of 3822.90.0000']","""O-Dimethylaminocarbonyl-4-(6-dimethylamino-4-trifluoromethylpyridin-2-yl)benzaldehyde oxime"" is a chemical compound identified by the MDL Number MFCD19981240, characterized by its high purity of at least 95%. It is classified as an irritant and is used in various chemical synthesis and research applications, particularly in organic chemistry and pharmaceuticals. This product is available from Matrix Scientific, a company with extensive experience in serving the research community. For detailed safety and handling information, the Material Safety Data Sheet (MSDS) can be accessed."
Organic fertilizers and plant nutrients,blackburnhydroponics.co.uk,https://shop.biograins.co.nz/shop/SPI/548997457.2565/1_FER-Garden-Products,https://shop.biograins.co.nz/shop/SPI/548997457.2565/1_FER-Garden-Products,"A product from the Master Kit collection, priced at 880. It is designed to support plant growth and is part of the agricultural bio organic product range.",Organic Bloom 2.8.4 Solution Grade Fertiliser,[{'Name': 'None'}],Krishidhaan Biocare Pvt Ltd,['Agriculture'],['Soil fertilizationPlant growth promotion'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],['Liquid'],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Fast Release'],"""Organic Bloom 2.8.4 Solution Grade Fertiliser"" is a solution grade organic fertilizer designed for promoting flowering growth. It features a fast-release formula and is simply added to water, making it easy to use in gardening and agricultural applications."
Organic herbs,hungrytiger.us,https://doctorcow.in/live_chat/,https://doctorcow.in/live_chat/,"A selection of organic products offered by Hungry Tiger, made with 100% organic ingredients. These products are free from additives, GMOs, preservatives, and artificial coloring, reflecting a commitment to health and safety.",Organic Green Mutter,[{'Name': 'None'}],Hungry Tiger,['Food & Beverage'],['sourced from organic farms'],True,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'g', 'value': '500'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",['Organic'],['Free from additivesFree from GMOsFree from preservatives'],"""Organic Products"" offered by Hungry Tiger are made with 100% organic ingredients and are free from additives, GMOs, preservatives, and artificial coloring, emphasizing a commitment to health and safety."
Organizers and accessories,henryhallshopfitting.co.uk,https://store.directsupply.com/Product/victor-midnight-black-desk-organizer-smartphone-holder-10-1-2-x-5-1-2-x-4-wood-12969996?quantity=1&pp=H4950,https://store.directsupply.com/Product/victor-midnight-black-desk-organizer-smartphone-holder-10-1-2-x-5-1-2-x-4-wood-12969996?quantity=1&pp=H4950,"The Victor® Midnight Black Desk Organizer with Smartphone Holder, model number L3385, is a sophisticated and functional desk accessory designed by Kardex Systems Inc. Priced at $69.99, this organizer is part of the Midnight Black Collection, which emphasizes both functionality and aesthetic appeal. The organizer features a sturdy wood construction with a durable double-coated matte black finish, ensuring longevity and a sleek appearance. It includes a removable ergonomic system specifically designed to hold a smartphone, adding a practical touch to its design. The organizer is equipped with frosted glass windows that add a touch of elegance, and non-slip rubber feet to prevent movement and protect your work surface from scratches and scuffs. The 5.5” x 10.4” x 3.5” design provides multiple ways to keep your desk organized, making it suitable for both home and office use. The product is not returnable, but restrictions or fees may apply. It is important to note that this product is not intended for professional use and does not require a prescription. The product is eligible for free shipping and is currently available for fast and free shipping.",Stackable Horizontal Hanging Desk Storage,['Part_Number: H-10502'],Kardex Systems Inc.,['Office SuppliesHome Office'],['desk organizationsmartphone storage'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['WoodFrosted Glass'],[None],[None],-1,[None],['Adjustments in paper colorAdjustments in column countEquipped with hole punching options'],[None],[None],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '10.4'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '5.5'}
 {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '3.5'}]","[{'original': 'Midnight Black', 'simple': 'Black'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Wire mesh attachmentHanging designAvoids excessive bending or reachingEasily attached with a clamp'],"The ""Desk Organizer with Smartphone Holder"" designed by Kardex Systems Inc. is a desk accessory that enhances organization and functionality. It features a sturdy wood construction with a durable double-coated matte black finish and includes a removable ergonomic system for holding a smartphone. The organizer is equipped with frosted glass windows and non-slip rubber feet to prevent movement and protect the work surface. This product is suitable for both home and office use, offering a practical and elegant solution for desk organization."
Orthodontic and prosthodontic equipment and supplies,midoremedical.com,https://www.darbydental.com/scripts/productListView.aspx?Category=Orthodontics&filter=Subcategory&filterval=Lab%20Equipment%20and%20Supplies&term=&Category=Orthodontics&s=c,https://www.darbydental.com/scripts/productListView.aspx?Category=Orthodontics&filter=Subcategory&filterval=Lab%20Equipment%20and%20Supplies&term=&Category=Orthodontics&s=c,"Waldent Ortho Orthodontic Wax is a specialized dental product designed to provide relief and prevent irritation to the gums caused by braces and other dental appliances. This orthodontic wax is made from medical-grade paraffin-based wax, ensuring it is both natural and safe for oral use. The wax is solid at room temperature but can be easily softened and shaped by the warmth of the hands, allowing for convenient and customized application. Once applied, the wax adheres to the braces, creating a protective barrier between the brackets and the sensitive gum tissue. The unique properties of this relief wax make it highly effective in protecting the gums from the potentially sharp metal edges of braces. The smooth texture of the wax ensures optimal comfort while in the mouth, and it remains in place, providing continuous protection. Over time, the wax naturally breaks down and can flake away or be easily peeled off, causing no discomfort or harm to the patient. The product is available in a soft, mint-flavored form and comes in a box of 5 strips. It includes an easy-to-use applicator for convenient application. The wax is priced at Rs. 55, with a previous price of Rs. 110, and is currently in stock with 2106 units ready to be shipped. The product is designed to prevent injury to oral soft tissues, relieve discomfort caused by wires and brackets, and act as a buffer between the gums and the metal edges of braces. The packaging type is a box of 5 strips, and the product is available for purchase with various payment options.",Orthodontic Pliers & Cutters,['Product_Code: 8591320'],Waldent Ortho,['Healthcare'],['Protection Of Gums From BracesRelief Of Discomfort Caused By Wires And Brackets'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],['Boxes'],[None],"[{'dimension': 'Weight', 'qualitative': False, 'type': 'exact', 'unit': 'lbs', 'value': '33'}]","[{'original': 'Blue', 'simple': 'Blue'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Medical-grade paraffin-based waxSmooth texture for optimal comfortIncludes an easy-to-use applicator'],"""Orthodontic Wax"" is a dental product designed to provide relief and prevent gum irritation caused by braces and other dental appliances. Made from medical-grade paraffin-based wax, it is safe for oral use and can be easily applied and shaped to fit the braces. The wax protects the gums by creating a barrier between the brackets and the gum tissue, ensuring optimal comfort and safety. It is available in a soft, mint-flavored form and includes an easy-to-use applicator for convenient application."
Orthopedic equipment and supplies,fredwaltonshopping.co.uk,https://www.fredwaltonshopping.co.uk/,https://www.fredwaltonshopping.co.uk/,Vinyl cushions designed to provide additional support and comfort for the coccyx area.,Coccyx Cushions,[{'Name': 'None'}],None,['Healthcare'],['Support And Comfort For Coccyx Area'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Vinyl'],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],[None],"""Coccyx Cushions"" are vinyl cushions designed to offer additional support and comfort specifically for the coccyx area."
Orthopedic softgoods for lower extremity,adaptivespecialties.com,https://store.directsupply.com/Product/surefit-acapulco-s606-2-camel-hook-loop-5ww-insert-sr-08o-19748378?quantity=1&pp=7WG69,https://store.directsupply.com/Product/surefit-acapulco-s606-2-camel-hook-loop-5ww-insert-sr-08o-19748378?quantity=1&pp=7WG69,"The Silipos® WonderSpur™ Heel Cup, Small, is a specialized orthotic product designed to alleviate pain associated with heel spurs, plantar fasciitis, knee, and back pain. Manufactured by Silipos Holding LLC, this heel cup is identified by the model number 4502 and is available in a small size suitable for women's 4 to 5 and men's 2 to 4. The product is priced at $47.65 and is currently available with free shipping. The heel cup features a medially located soft spot that provides additional support and comfort, making it an ideal choice for individuals seeking relief from heel pain. Constructed from dual-density, clear silicone, the Silipos WonderSpur™ Heel Cup offers maximum support and shock absorption with even pressure redistribution, ensuring optimal comfort and functionality. It is hypoallergenic and not made with natural rubber latex, making it a safe and effective option for a wide range of users. The product is clear in color and is made from polycarbonate material, which is known for its durability and resistance to wear and tear. The Silipos WonderSpur™ Heel Cup is not returnable, but it is available for professional use only. It is not required to have a prescription for use. The product is identified by the Medicare HCPCS code L3485 and comes with a CA Prop 65 warning indicating cancer and reproductive harm. This heel cup is part of the Silipos® WonderSpur™ Heel Cups line, which is designed to provide comprehensive support and comfort for various foot and ankle conditions.",Thermoskin Plantar FXT ULTRA,['Part_Number: 081538040'],MIH International LLC,['SportsHealthcare'],['Post-operative care for knee and leg injuriesHot and cold therapyPain managementSoft tissue swelling treatment'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Nubuck LeatherLeather'],[None],[None],-1,[None],['Adjustable support and stability for the kneeFeatures a hinged design for easy adjustment and customization'],[None],[None],"[{'dimension': None, 'qualitative': True, 'type': 'min', 'unit': None, 'value': 'Extra Wide'}
 {'dimension': None, 'qualitative': True, 'type': 'max', 'unit': None, 'value': 'Large/Extra Large'}]","[{'original': 'Camel', 'simple': 'Brown'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",['FCC'],['Latex-freeAntimicrobialSelf-wickingDoes not require a prescriptionNot classified as a hygiene or medical productNo CA Prop 65 warning'],"The ""Heel Cup"" manufactured by Silipos Holding LLC is designed to alleviate pain associated with heel spurs, plantar fasciitis, knee, and back pain. This heel cup features a medially located soft spot for additional support and comfort, and is constructed from dual-density, clear silicone for maximum support and shock absorption. It is hypoallergenic, not made with natural rubber latex, and is clear in color, making it suitable for both women's 4 to 5 and men's 2 to 4. The product is part of the Silipos WonderSpur Heel Cups line, designed to provide comprehensive support and comfort for various foot and ankle conditions."
